age,two_year_recid,c_charge_degree,race,sex,priors_count,length_of_stay,score
33,1,M,African-American,Male,8,0,1
31,1,F,African-American,Female,0,1,1
33,1,F,African-American,Female,7,26,0
27,1,F,African-American,Male,2,1,0
20,0,F,African-American,Female,0,0,1
26,0,M,Other,Female,0,0,1
61,1,F,African-American,Female,1,0,1
52,1,F,Other,Male,13,1,1
63,0,F,Other,Male,1,14,1
32,1,F,African-American,Female,4,6,0
29,0,F,Other,Male,1,0,1
26,1,M,African-American,Female,2,0,1
39,0,M,Other,Male,1,3,1
30,1,F,Other,Female,3,530,1
30,0,F,African-American,Male,1,70,1
48,0,M,Other,Male,2,0,1
22,0,F,African-American,Male,1,0,1
46,1,F,Other,Male,6,22,1
31,0,F,Other,Male,0,2,1
25,1,M,African-American,Male,1,1,1
23,0,F,Other,Male,0,0,1
32,0,F,African-American,Female,5,1,1
52,0,M,Other,Male,2,3,1
62,0,F,African-American,Male,8,15,1
31,1,F,Other,Male,8,117,0
28,1,M,African-American,Male,6,0,1
54,0,F,Other,Male,2,188,1
58,0,F,Other,Male,0,0,1
78,1,M,Other,Male,1,0,1
56,0,F,Other,Male,0,1,1
24,0,F,Other,Male,0,1,1
22,1,F,African-American,Male,1,0,1
47,1,M,African-American,Male,23,0,0
23,1,M,African-American,Male,0,1,1
57,0,F,Other,Male,1,19,1
66,0,F,African-American,Male,3,2,1
45,1,M,Other,Male,8,71,1
37,1,M,African-American,Male,2,0,0
39,1,F,Other,Male,0,0,1
26,1,F,African-American,Male,9,79,0
45,0,F,Other,Male,2,358,1
23,1,F,African-American,Male,0,0,1
34,0,M,African-American,Male,2,25,1
23,0,M,African-American,Female,1,0,1
36,1,M,Other,Male,2,2,1
50,0,F,Other,Male,1,1,1
37,0,M,Other,Female,0,0,1
44,0,M,Other,Male,4,1,1
35,1,F,African-American,Female,23,2,0
24,1,F,Other,Male,5,0,1
26,1,F,African-American,Male,2,1,0
27,0,M,African-American,Male,0,2,1
28,0,F,African-American,Female,0,29,0
28,1,F,Other,Female,7,1,0
38,0,F,African-American,Male,2,1,1
28,0,F,African-American,Female,1,38,0
56,1,F,Other,Male,7,0,1
38,0,F,African-American,Male,15,1,0
28,0,M,African-American,Male,2,0,1
51,1,M,Other,Female,0,0,1
51,0,M,Other,Male,0,0,1
36,1,M,Other,Male,1,1,1
48,0,F,African-American,Male,0,1,1
37,1,F,Other,Male,4,1,1
30,0,F,African-American,Female,2,2,1
41,0,M,African-American,Female,5,0,1
27,1,F,African-American,Male,11,223,0
37,0,M,African-American,Male,0,1,1
33,1,F,Other,Male,4,2,1
54,0,F,African-American,Male,11,129,0
23,0,F,African-American,Male,2,71,0
41,0,M,African-American,Male,0,0,1
52,0,F,Other,Male,0,0,1
43,1,F,Other,Male,13,51,1
52,0,F,African-American,Male,0,13,1
28,0,F,Other,Male,1,3,1
30,1,M,African-American,Male,11,1,0
28,0,F,Other,Male,1,6,1
22,0,F,African-American,Male,0,0,1
30,0,F,African-American,Male,4,-1,1
25,0,F,Other,Male,4,1,1
31,1,F,Other,Male,0,30,0
37,1,F,Other,Male,0,35,1
32,0,F,African-American,Male,14,1,0
53,0,M,Other,Male,1,1,1
28,1,F,African-American,Male,25,25,0
44,1,M,Other,Male,8,4,1
25,0,F,African-American,Male,0,0,1
22,1,M,Other,Male,1,5,0
37,0,M,Other,Female,0,1,1
40,0,F,Other,Female,3,1,1
31,0,M,Other,Female,0,0,1
23,1,F,Other,Male,1,1,1
23,1,F,Other,Female,5,0,1
24,0,M,Other,Male,0,0,0
29,0,M,African-American,Male,1,0,1
20,1,F,African-American,Male,1,1,0
30,1,F,African-American,Male,2,1,1
39,0,F,Other,Male,0,0,1
27,0,F,African-American,Male,4,0,1
37,0,F,African-American,Female,2,0,1
20,0,F,African-American,Male,0,2,0
22,0,F,Other,Male,0,2,1
52,0,F,African-American,Female,0,0,1
23,1,F,African-American,Female,0,3,1
48,0,F,African-American,Female,0,1,1
25,0,F,Other,Male,0,0,1
27,1,F,Other,Male,0,1,1
30,1,F,African-American,Male,11,1,1
22,1,M,African-American,Male,3,1,0
22,0,F,Other,Female,1,0,1
41,0,M,African-American,Female,2,0,1
25,0,F,Other,Female,0,0,1
52,1,F,African-American,Male,3,24,1
43,0,F,African-American,Male,0,41,1
37,0,F,Other,Male,3,2,1
70,0,M,Other,Male,1,12,1
46,0,F,Other,Male,3,14,1
21,1,M,African-American,Male,0,1,0
26,1,M,African-American,Male,1,1,0
38,1,F,Other,Male,3,1,1
34,0,M,Other,Male,5,1,1
34,0,M,African-American,Male,5,0,1
23,1,F,Other,Male,0,0,1
34,1,F,African-American,Male,5,2,1
39,1,F,African-American,Male,6,2,1
24,0,F,Other,Male,0,1,1
58,0,F,Other,Male,2,1,1
21,0,M,African-American,Female,0,0,1
23,1,M,African-American,Male,4,11,0
62,0,F,Other,Male,0,1,1
37,0,F,Other,Male,5,10,1
43,1,F,Other,Male,2,7,1
32,0,F,African-American,Female,5,-1,1
23,0,F,Other,Male,0,45,1
27,0,M,African-American,Male,0,0,1
44,1,M,Other,Male,0,1,1
28,1,M,Other,Male,3,0,1
42,0,F,Other,Female,0,1,1
24,1,F,Other,Male,9,4,0
27,0,F,African-American,Male,0,17,1
20,1,F,African-American,Male,0,0,0
51,0,M,Other,Female,0,1,1
56,0,M,Other,Male,0,1,1
29,0,F,African-American,Male,7,1,0
20,1,F,African-American,Male,0,209,0
27,0,F,Other,Male,8,68,1
24,1,F,African-American,Male,2,19,0
53,1,F,Other,Male,36,32,1
28,1,M,Other,Male,2,1,1
21,0,F,Other,Male,3,22,1
36,0,F,African-American,Female,0,12,1
25,1,M,Other,Female,2,1,1
23,0,M,Other,Female,1,0,1
28,0,F,Other,Male,1,1,1
21,1,F,African-American,Female,0,1,0
36,0,M,Other,Male,0,0,1
24,0,F,African-American,Male,0,0,1
30,1,F,Other,Male,1,0,1
29,0,F,African-American,Male,0,1,1
30,0,M,Other,Female,0,3,1
51,0,M,Other,Male,1,1,1
32,1,F,African-American,Male,12,1,0
23,0,F,African-American,Male,1,1,1
47,0,F,African-American,Male,3,0,1
37,0,F,Other,Male,0,19,1
19,1,F,African-American,Male,2,1,0
27,0,M,Other,Male,0,2,0
39,0,M,Other,Male,0,0,1
21,0,F,Other,Female,0,0,1
69,0,M,Other,Male,0,0,1
21,0,F,Other,Male,2,2,1
26,1,M,African-American,Male,6,3,0
22,0,F,Other,Male,0,0,1
23,1,F,African-American,Female,0,0,1
49,0,F,African-American,Male,3,3,1
29,0,M,African-American,Male,2,50,1
60,0,M,Other,Female,0,0,1
23,1,F,African-American,Male,3,0,0
20,0,F,Other,Female,1,2,1
36,0,F,Other,Male,1,95,1
30,0,F,Other,Male,0,1,1
21,0,F,African-American,Male,1,-1,1
22,1,M,Other,Male,2,0,1
21,1,F,African-American,Male,4,219,0
21,1,F,African-American,Male,0,12,1
34,0,M,Other,Male,1,0,1
50,1,M,Other,Female,1,0,1
40,1,F,Other,Male,0,8,1
25,1,F,African-American,Male,7,127,0
53,0,M,Other,Female,1,0,1
24,0,F,African-American,Female,0,1,1
42,0,F,African-American,Male,1,4,1
28,0,M,African-American,Male,1,1,1
26,1,F,African-American,Male,6,1,0
22,1,F,African-American,Male,4,260,0
21,0,M,Other,Male,3,5,1
37,1,F,African-American,Male,23,17,0
35,0,F,African-American,Male,2,5,1
53,0,F,African-American,Male,2,0,1
29,0,F,African-American,Male,7,1,1
48,1,F,Other,Male,23,360,0
52,0,M,Other,Female,0,0,1
27,1,F,African-American,Male,12,31,0
28,0,F,African-American,Male,5,51,0
33,0,M,Other,Male,3,0,1
28,0,F,Other,Female,0,2,1
36,1,F,African-American,Male,14,0,1
29,0,F,African-American,Male,2,1,1
22,1,M,African-American,Male,0,21,0
25,0,F,Other,Male,0,0,1
56,0,F,African-American,Male,5,12,1
27,1,F,African-American,Male,9,52,0
52,1,F,Other,Male,4,7,1
32,0,F,African-American,Male,3,1,1
60,0,F,Other,Male,4,1,1
23,0,M,Other,Male,1,5,1
39,0,M,Other,Female,0,0,1
56,0,M,Other,Male,0,0,1
22,0,F,African-American,Female,0,0,1
53,0,F,African-American,Male,11,110,1
25,1,M,Other,Male,0,0,1
21,0,M,Other,Male,0,0,1
22,0,F,Other,Male,0,1,1
58,0,M,Other,Female,2,1,1
31,1,M,African-American,Male,7,1,1
22,1,F,Other,Male,1,0,1
28,1,F,African-American,Male,8,3,1
42,0,F,Other,Male,1,2,1
20,1,F,African-American,Male,0,0,1
29,1,M,Other,Male,0,5,1
58,1,M,African-American,Male,21,59,1
22,0,F,African-American,Male,3,106,1
48,1,M,Other,Male,1,0,1
37,0,F,Other,Male,0,0,1
57,1,F,African-American,Male,1,25,1
27,0,M,Other,Male,3,-1,1
26,0,F,African-American,Male,3,33,1
24,1,F,Other,Male,3,0,0
33,0,F,Other,Male,0,1,1
29,0,F,African-American,Male,2,0,1
24,1,F,African-American,Female,3,1,0
19,1,F,Other,Male,1,32,0
36,0,M,Other,Male,2,0,1
24,0,F,Other,Female,0,0,1
34,0,M,Other,Male,0,0,1
25,1,F,Other,Male,2,0,1
20,1,F,African-American,Male,1,1,0
24,1,M,African-American,Male,1,1,1
61,0,F,Other,Male,4,1,1
50,0,F,African-American,Female,3,-1,1
30,0,M,African-American,Male,1,4,1
38,0,F,African-American,Male,5,1,1
24,0,M,Other,Male,0,0,1
46,1,F,African-American,Female,2,9,0
41,1,M,Other,Male,0,3,1
20,1,F,Other,Male,0,22,0
27,1,M,African-American,Male,13,1,0
26,1,M,African-American,Male,1,13,1
29,1,F,African-American,Male,3,1,1
52,1,F,Other,Male,6,1,1
28,1,F,Other,Male,1,4,1
55,1,F,African-American,Male,5,118,1
26,1,F,African-American,Male,10,0,0
28,0,F,African-American,Male,5,1,0
63,0,F,Other,Male,2,3,1
42,0,F,African-American,Male,0,1,1
23,0,F,African-American,Male,6,0,1
54,1,F,African-American,Male,28,5,0
35,1,F,African-American,Male,8,10,1
24,1,F,African-American,Female,6,26,0
54,0,M,African-American,Male,2,0,1
58,1,M,African-American,Male,12,3,1
23,1,M,Other,Male,1,0,1
35,0,M,African-American,Male,1,0,1
20,1,F,African-American,Male,1,2,0
51,0,F,Other,Male,0,35,1
24,0,F,Other,Male,0,1,0
37,0,F,Other,Male,3,6,1
47,0,F,Other,Male,3,0,1
34,1,F,Other,Male,4,1,1
56,0,F,Other,Male,0,0,1
34,1,F,Other,Male,4,31,1
59,1,F,Other,Male,1,0,1
35,0,F,Other,Male,0,101,1
58,0,F,Other,Male,1,10,1
29,0,M,Other,Male,2,0,1
24,1,F,Other,Female,6,3,0
21,1,M,Other,Male,2,8,0
50,1,F,Other,Male,5,11,1
26,0,F,African-American,Male,1,1,1
30,0,M,Other,Female,0,1,1
29,1,M,Other,Male,0,1,1
54,0,M,African-American,Male,0,1,1
29,1,F,African-American,Male,4,8,1
59,0,M,Other,Female,0,0,1
38,0,F,African-American,Male,0,1,1
27,1,M,Other,Male,1,1,1
26,1,F,Other,Male,7,1,1
52,0,F,Other,Male,20,27,1
66,1,F,African-American,Male,33,13,1
27,0,F,Other,Male,2,0,1
51,0,M,Other,Male,1,1,1
35,0,F,Other,Male,1,74,1
52,0,M,Other,Male,4,0,1
48,0,F,Other,Male,12,1,1
26,0,M,African-American,Female,0,1,1
48,0,M,Other,Female,0,0,1
30,0,M,Other,Male,7,37,1
28,0,M,Other,Male,2,1,1
33,0,M,African-American,Male,2,0,1
34,0,F,African-American,Female,6,52,1
25,0,M,Other,Male,0,-1,1
59,1,F,African-American,Male,10,127,1
29,1,F,African-American,Male,5,2,1
24,0,F,Other,Male,0,1,1
48,1,F,Other,Male,1,129,1
52,0,M,African-American,Male,4,1,1
20,1,F,African-American,Male,0,0,1
25,1,F,Other,Male,4,5,1
24,0,F,Other,Male,0,15,1
23,0,M,Other,Male,0,1,0
27,0,F,Other,Male,6,1,1
25,1,M,African-American,Male,1,0,1
31,0,F,African-American,Male,0,0,1
25,1,F,African-American,Male,6,4,1
32,1,F,Other,Male,1,0,1
21,1,F,Other,Male,0,-1,1
37,0,F,Other,Male,1,5,1
25,0,F,Other,Male,0,0,1
32,0,F,Other,Male,20,0,0
35,0,F,African-American,Male,0,2,1
42,1,F,African-American,Male,14,1,1
24,1,M,Other,Male,9,10,0
21,1,F,Other,Male,0,0,1
47,0,M,Other,Male,1,0,1
27,1,F,African-American,Male,5,1,0
43,1,M,Other,Male,2,4,1
46,1,F,Other,Male,2,0,1
44,0,M,African-American,Male,1,0,1
23,0,F,Other,Male,2,0,1
42,0,F,African-American,Male,8,1,1
58,0,F,African-American,Male,6,144,1
26,0,F,African-American,Male,3,1,1
48,0,F,Other,Female,0,17,1
39,1,F,African-American,Male,3,3,1
21,1,F,African-American,Male,3,-1,1
63,0,M,Other,Male,1,5,1
22,1,F,African-American,Male,3,7,1
50,0,M,African-American,Male,3,0,1
38,0,F,African-American,Male,0,9,1
41,0,F,Other,Male,1,6,1
28,1,F,African-American,Male,16,1,0
30,0,M,African-American,Female,0,1,1
23,0,F,African-American,Male,1,0,1
25,1,F,Other,Male,2,12,1
40,0,F,Other,Male,5,0,1
24,0,F,Other,Male,8,-1,0
27,1,M,African-American,Male,5,64,1
44,0,M,Other,Male,11,180,1
35,1,F,African-American,Female,6,1,1
42,0,M,Other,Male,0,0,1
38,0,F,African-American,Male,15,0,1
26,0,F,Other,Male,4,-1,1
25,0,M,African-American,Female,0,0,1
64,0,F,Other,Male,1,7,1
49,1,M,Other,Female,2,0,1
50,1,F,Other,Male,5,1,1
66,1,M,Other,Male,0,0,1
46,0,M,Other,Female,0,1,1
30,1,F,African-American,Male,5,1,1
22,0,M,Other,Female,0,-1,1
23,0,M,Other,Male,1,9,1
30,1,M,Other,Male,0,1,1
31,0,M,Other,Male,0,0,1
31,0,F,Other,Male,1,0,1
25,0,M,African-American,Male,0,0,1
21,0,F,Other,Female,0,2,1
27,0,M,African-American,Male,0,1,1
20,1,M,Other,Male,0,1,1
32,0,F,Other,Male,1,0,1
24,0,F,Other,Female,0,0,1
20,0,F,African-American,Male,1,0,1
31,1,M,African-American,Male,3,19,0
27,1,M,African-American,Male,3,6,1
40,0,F,African-American,Male,0,1,1
22,1,F,African-American,Male,11,0,0
38,0,F,African-American,Female,1,0,1
36,1,M,Other,Male,1,39,0
30,0,M,African-American,Male,1,0,1
27,1,F,Other,Male,6,34,1
59,0,M,Other,Female,0,0,1
37,0,M,Other,Male,2,1,1
28,1,M,African-American,Male,5,1,1
38,0,F,Other,Male,0,0,1
22,1,F,African-American,Male,0,0,0
25,1,F,African-American,Male,4,31,1
51,0,M,Other,Male,0,0,1
29,1,M,Other,Male,2,25,1
28,0,F,African-American,Male,10,0,1
55,1,M,African-American,Male,9,3,1
23,0,F,Other,Female,3,5,0
22,0,M,African-American,Female,0,7,1
19,1,F,Other,Female,2,22,0
31,0,M,African-American,Male,1,-1,1
29,0,M,African-American,Male,0,0,1
61,1,F,African-American,Male,15,1,1
31,0,M,Other,Male,0,0,1
20,1,F,African-American,Male,4,2,0
26,1,F,Other,Male,3,1,1
27,0,M,Other,Male,5,1,0
25,0,F,Other,Male,1,1,1
23,1,F,Other,Male,3,9,1
38,0,F,African-American,Male,0,1,1
27,1,F,African-American,Male,18,0,0
35,1,F,Other,Female,0,-1,1
22,0,F,Other,Male,0,16,0
58,1,F,African-American,Female,4,1,1
57,1,M,Other,Female,0,1,1
21,0,F,African-American,Male,0,0,1
22,0,F,African-American,Female,0,1,0
30,0,F,African-American,Male,0,2,1
30,1,F,African-American,Male,8,1,0
31,0,F,African-American,Female,10,0,1
45,0,F,Other,Female,1,1,1
39,1,F,Other,Male,2,4,1
31,1,F,African-American,Male,0,1,0
22,1,F,African-American,Male,1,1,1
27,1,F,African-American,Male,13,2,1
38,1,F,Other,Male,1,0,1
31,1,F,African-American,Male,23,55,0
47,0,F,African-American,Male,20,1,0
22,0,F,African-American,Male,3,0,1
35,1,M,African-American,Male,1,79,0
23,1,M,Other,Male,2,19,1
65,1,M,African-American,Male,2,5,1
35,0,M,African-American,Male,0,1,1
33,0,F,African-American,Female,0,1,1
53,0,M,Other,Male,1,1,1
52,0,F,Other,Male,0,1,1
21,0,F,African-American,Male,0,0,1
37,0,F,African-American,Male,11,1,1
30,1,M,Other,Male,4,0,0
54,0,F,Other,Male,0,-1,1
31,0,M,African-American,Female,0,-1,1
59,0,F,Other,Female,2,29,1
27,0,M,African-American,Male,0,1,1
36,1,M,African-American,Male,0,0,1
46,1,F,African-American,Male,17,6,0
22,0,F,African-American,Male,3,323,0
28,0,M,Other,Female,0,0,1
34,1,F,Other,Female,15,3,0
29,1,F,Other,Male,7,0,0
23,1,M,African-American,Male,2,80,0
27,0,F,African-American,Male,3,0,1
21,1,F,Other,Male,0,0,1
48,1,F,Other,Male,3,0,1
31,0,F,African-American,Male,5,6,1
36,0,M,African-American,Male,4,2,1
44,1,F,African-American,Male,14,1,0
53,0,F,Other,Male,2,0,1
33,1,M,African-American,Male,3,1,1
47,1,F,Other,Male,2,2,1
57,1,F,African-American,Male,20,33,1
28,0,M,African-American,Male,2,6,1
24,0,M,African-American,Male,1,1,1
44,0,F,African-American,Male,1,1,1
46,0,F,African-American,Male,0,1,1
37,0,F,African-American,Male,6,1,1
26,1,M,African-American,Male,10,5,1
27,1,F,African-American,Male,10,0,0
40,0,F,Other,Male,1,1,1
60,1,F,Other,Female,9,384,1
53,0,F,Other,Male,1,6,1
28,0,F,African-American,Male,0,1,1
23,0,M,Other,Male,0,0,1
46,0,F,Other,Female,2,19,0
23,1,F,African-American,Male,0,1,1
50,1,F,African-American,Male,18,248,0
45,0,M,African-American,Male,0,1,1
22,0,F,African-American,Male,1,0,1
26,1,F,Other,Male,1,16,1
62,0,F,Other,Male,0,2,1
34,1,M,Other,Male,0,-1,1
24,0,F,Other,Male,1,6,0
21,0,M,Other,Male,0,1,1
25,1,F,Other,Male,0,0,1
68,0,M,Other,Male,0,3,1
21,0,F,Other,Male,1,0,1
37,0,F,Other,Female,1,1,1
22,0,F,African-American,Male,0,0,0
42,0,F,Other,Male,1,0,1
22,1,F,Other,Male,1,1,1
45,1,F,African-American,Male,0,2,1
36,1,F,African-American,Female,4,0,0
48,0,F,African-American,Male,2,1,1
23,1,F,African-American,Male,6,8,0
24,0,F,African-American,Male,0,1,0
29,0,F,African-American,Male,0,1,1
24,0,F,African-American,Male,0,0,1
50,0,F,African-American,Male,11,2,0
34,1,F,African-American,Male,10,2,1
23,0,F,African-American,Male,0,0,1
22,0,M,Other,Female,0,2,1
36,0,F,Other,Male,0,7,1
30,1,F,Other,Male,22,3,1
21,1,F,African-American,Male,0,1,0
53,0,F,Other,Female,0,1,1
25,1,M,African-American,Male,7,0,1
25,0,M,African-American,Female,1,0,0
71,0,F,African-American,Male,8,24,1
39,0,M,African-American,Male,10,40,0
37,0,F,African-American,Female,0,37,1
20,1,F,African-American,Male,0,7,1
29,0,F,African-American,Female,3,0,1
22,1,F,African-American,Male,2,1,1
26,1,F,African-American,Male,4,83,1
47,1,F,African-American,Female,19,30,0
21,1,F,Other,Male,1,0,1
23,0,M,Other,Female,0,1,0
20,1,F,Other,Female,1,17,0
23,0,F,African-American,Female,0,1,1
27,0,M,Other,Male,3,0,1
53,0,F,African-American,Female,0,0,1
23,0,F,African-American,Female,0,0,1
26,1,F,African-American,Male,5,22,1
25,0,F,African-American,Male,6,6,1
23,0,M,Other,Male,2,1,1
27,1,F,African-American,Male,4,0,0
29,0,M,African-American,Male,1,3,1
27,1,F,Other,Male,1,0,1
28,0,F,Other,Male,0,1,1
31,0,M,African-American,Male,0,0,1
41,1,F,African-American,Male,8,0,1
25,0,M,Other,Male,0,0,1
47,0,M,Other,Male,0,-1,1
37,0,F,African-American,Male,4,1,1
35,0,F,African-American,Female,4,2,1
24,1,M,Other,Male,1,1,1
21,1,F,Other,Male,2,5,0
22,1,F,Other,Male,0,2,1
57,0,F,African-American,Male,11,140,1
48,0,F,Other,Male,0,11,1
36,0,F,Other,Male,0,5,1
37,0,F,African-American,Female,3,28,1
31,0,M,Other,Male,0,5,1
22,1,F,African-American,Male,1,4,0
31,0,M,Other,Male,2,0,1
24,1,F,African-American,Male,0,0,1
32,1,F,African-American,Male,22,0,0
23,0,M,Other,Female,0,1,1
63,0,M,African-American,Male,0,0,1
30,0,F,Other,Male,0,1,1
20,0,F,Other,Male,0,1,1
24,1,M,African-American,Female,1,0,1
36,0,M,African-American,Female,1,0,1
83,0,M,Other,Male,0,0,1
28,0,F,Other,Male,2,0,1
36,1,F,African-American,Male,3,1,1
33,0,M,African-American,Female,0,1,1
39,0,F,African-American,Male,0,0,1
29,0,M,Other,Male,3,0,1
30,1,F,African-American,Male,17,4,0
24,1,F,African-American,Male,1,0,1
35,0,F,African-American,Male,7,1,1
24,0,F,African-American,Male,0,0,1
26,0,F,Other,Male,8,2,1
28,1,F,African-American,Male,14,0,1
32,0,M,African-American,Male,0,0,1
32,1,M,Other,Female,1,0,1
33,1,M,African-American,Male,5,5,0
29,0,F,African-American,Male,16,17,0
34,1,M,Other,Male,1,0,1
37,1,M,Other,Female,0,0,1
43,0,M,Other,Male,0,0,1
47,0,F,Other,Male,2,0,1
25,1,M,African-American,Male,3,2,1
23,0,F,African-American,Female,1,1,1
39,0,M,Other,Male,2,0,1
35,1,F,African-American,Male,13,5,0
33,0,F,Other,Male,0,1,1
21,1,F,Other,Male,0,1,1
43,0,F,African-American,Male,20,1,0
25,1,F,African-American,Male,3,0,0
48,1,F,African-American,Male,25,6,0
22,1,M,African-American,Male,1,1,1
52,1,M,African-American,Male,9,38,0
26,1,F,Other,Male,5,35,1
67,1,M,African-American,Male,4,27,1
34,0,M,African-American,Male,4,1,1
56,0,M,Other,Male,4,0,1
28,1,F,African-American,Male,1,5,1
29,0,M,African-American,Male,2,0,1
37,1,F,African-American,Male,6,20,1
43,0,F,Other,Male,3,1,1
51,0,F,Other,Male,0,1,1
20,1,M,African-American,Male,1,0,1
26,1,M,Other,Male,4,293,1
39,1,M,Other,Female,1,10,1
21,0,F,African-American,Male,1,2,0
21,1,F,African-American,Male,1,2,0
24,1,F,Other,Male,3,1,1
26,1,M,African-American,Male,4,1,0
48,0,F,Other,Male,1,0,1
24,1,F,African-American,Male,5,1,1
26,0,F,Other,Male,0,-1,1
46,0,F,Other,Male,0,1,1
24,0,M,African-American,Male,7,1,0
21,0,M,Other,Female,0,0,1
24,1,F,African-American,Male,1,1,1
36,0,M,African-American,Male,9,1,0
30,1,F,African-American,Male,5,1,1
22,0,F,Other,Female,1,1,1
25,1,F,African-American,Male,0,9,0
31,1,M,African-American,Male,25,117,0
24,0,F,African-American,Male,0,2,1
39,1,F,African-American,Male,13,1,0
46,0,F,Other,Male,0,5,1
30,0,F,African-American,Female,4,0,1
40,0,F,Other,Male,0,22,1
52,0,F,African-American,Female,0,2,1
23,0,F,African-American,Male,3,33,0
26,0,M,African-American,Female,1,1,1
22,1,F,Other,Male,1,19,0
42,0,F,Other,Male,3,0,1
23,1,F,African-American,Male,6,135,0
33,1,F,Other,Male,4,1,1
